id,x,y,z,type
214,-3,0,9,0
215,-3,0,10,0
216,-3,0,11,0
217,-3,0,12,0
218,-3,0,13,0
219,-3,0,14,0
220,-3,0,15,0
221,-3,0,16,0
222,-3,0,17,0
223,-3,0,18,0
224,-3,0,19,0
225,-3,0,20,0
226,-2,0,-1,0
227,-2,1,-1,0
228,-2,2,-1,0
229,-2,0,0,0
230,-2,0,0,0
231,-2,0,1,0
232,-2,0,1,0
233,-2,0,2,0
234,-2,0,2,0
235,-2,0,3,0
236,-2,0,3,0
237,-2,0,4,0
238,-2,0,5,0
239,-2,0,6,0
240,-2,0,7,0
241,-2,0,8,0
242,-2,0,9,0
243,-2,0,10,0
244,-2,0,11,0
245,-2,0,12,0
246,-2,0,13,0
247,-2,0,14,0
248,-2,0,15,0
249,-2,0,16,0
250,-2,0,17,0
251,-2,0,18,0
252,-2,0,19,0
253,-2,0,20,0
254,-1,0,-1,0
255,-1,1,-1,0
256,-1,2,-1,0
257,-1,0,0,0
258,-1,0,0,0
259,-1,0,1,0
260,-1,0,1,0
261,-1,0,2,0
262,-1,0,2,0
263,-1,0,3,0
264,-1,0,3,0
265,-1,0,4,0
266,-1,0,5,0
267,-1,0,6,0
268,-1,0,7,0
269,-1,0,8,0
270,-1,0,9,0
271,-1,0,10,0
272,-1,0,11,0
273,-1,0,12,0
274,-1,0,13,0
275,-1,0,14,0
276,-1,0,15,0
277,-1,0,16,0
278,-1,0,17,0
279,-1,0,18,0
280,-1,0,19,0
281,-1,0,20,0
282,0,0,-1,0
283,0,1,-1,0
284,0,2,-1,0
285,0,0,0,0
286,0,0,0,0
287,0,0,1,0
288,0,0,1,0
289,0,0,2,0
290,0,0,2,0
291,0,0,3,0
292,0,0,3,0
293,0,0,4,0
294,0,0,5,0
295,0,2,5,0
296,0,2,5,0
297,0,0,6,0
298,0,0,7,0
299,0,1,7,0
300,0,1,7,0
301,0,0,8,0
302,0,1,8,0
303,0,1,8,0
304,0,0,9,0
305,0,1,9,0
306,0,1,9,0
307,0,0,10,0
308,0,1,10,0
309,0,1,10,0
310,0,0,11,0
311,0,1,11,0
312,0,1,11,0
313,0,0,12,0
314,0,1,12,0
315,0,1,12,0
316,0,0,13,0
317,0,0,14,0
318,0,0,15,0
319,0,2,15,0
320,0,2,15,0
321,0,0,16,0
322,0,0,17,0
323,0,0,18,0
324,0,0,19,0
325,0,0,20,0
326,1,0,-1,0
327,1,1,-1,0
328,1,2,-1,0
329,1,0,0,0
330,1,0,0,0
331,1,0,1,0
332,1,0,1,0
333,1,0,2,0
334,1,0,2,0
335,1,0,3,0
336,1,0,3,0
337,1,0,4,0
338,1,0,5,0
339,1,0,6,0
340,1,0,7,0
341,1,0,8,0
342,1,0,9,0
343,1,0,10,0
344,1,0,11,0
345,1,0,12,0
346,1,0,13,0
347,1,0,14,0
348,1,0,15,0
349,1,0,16,0
350,1,0,17,0
351,1,0,18,0
352,1,0,19,0
353,1,0,20,0
354,2,0,-1,0
355,2,1,-1,0
356,2,2,-1,0
357,2,0,0,0
358,2,0,0,0
359,2,0,1,0
360,2,0,1,0
361,2,0,2,0
362,2,0,2,0
363,2,0,3,0
364,2,0,3,0
365,2,0,4,0
366,2,0,5,0
367,2,0,6,0
368,2,0,7,0
369,2,0,8,0
370,2,0,9,0
371,2,0,10,0
372,2,0,11,0
373,2,0,12,0
374,2,0,13,0
375,2,0,14,0
376,2,0,15,0
377,2,0,16,0
378,2,0,17,0
379,2,0,18,0
380,2,0,19,0
381,2,0,20,0
382,3,0,-1,0
383,3,1,-1,0
384,3,2,-1,0
385,3,0,0,0
386,3,0,0,0
387,3,1,0,0
388,3,2,0,0
389,3,0,1,0
390,3,0,1,0
391,3,1,1,0
392,3,2,1,0
393,3,0,2,0
394,3,0,2,0
395,3,1,2,0
396,3,2,2,0
397,3,0,3,0
398,3,0,3,0
399,3,1,3,0
400,3,2,3,0
401,3,0,4,0
402,3,0,5,0
403,3,0,6,0
404,3,0,7,0
405,3,0,8,0
406,3,0,9,0
407,3,0,10,0
408,3,0,11,0
409,3,0,12,0
410,3,0,13,0
411,3,0,14,0
412,3,0,15,0
413,3,0,16,0
414,3,0,17,0
415,3,0,18,0
416,3,0,19,0
417,3,0,20,0
418,4,0,0,0
419,4,0,1,0
420,4,0,2,0
421,4,0,3,0
422,4,0,4,0
423,4,0,5,0
424,4,0,6,0
425,4,0,7,0
426,4,0,8,0
427,4,0,9,0
428,4,0,10,0
429,4,0,11,0
430,4,0,12,0
431,4,0,13,0
432,4,0,14,0
433,4,0,15,0
434,4,0,16,0
435,4,0,17,0
436,4,0,18,0
437,4,0,19,0
438,4,0,20,0
439,5,0,0,0
440,5,0,1,0
441,5,0,2,0
442,5,0,3,0
443,5,0,4,0
444,5,0,5,0
445,5,0,6,0
446,5,0,7,0
447,5,0,8,0
448,5,0,9,0
449,5,0,10,0
450,5,0,11,0
451,5,0,12,0
452,5,0,13,0
453,5,0,14,0
454,5,0,15,0
455,5,0,16,0
456,5,0,17,0
457,5,0,18,0
458,5,0,19,0
459,5,0,20,0
460,6,0,0,0
461,6,0,1,0
462,6,0,2,0
463,6,0,3,0
464,6,0,4,0
465,6,0,5,0
466,6,0,6,0
467,6,0,7,0
468,6,0,8,0
469,6,0,9,0
470,6,0,10,0
471,6,0,11,0
472,6,0,12,0
473,6,0,13,0
474,6,0,14,0
475,6,0,15,0
476,6,0,16,0
477,6,0,17,0
478,6,0,18,0
479,6,0,19,0
480,6,0,20,0
481,7,0,0,0
482,7,1,0,0
483,7,1,0,0
484,7,0,1,0
485,7,0,2,0
486,7,0,3,0
487,7,1,3,0
488,7,1,3,0
489,7,0,4,0
490,7,1,4,0
491,7,1,4,0
492,7,0,5,0
493,7,0,6,0
494,7,0,7,0
495,7,1,7,0
496,7,1,7,0
497,7,0,8,0
498,7,0,9,0
499,7,0,10,0
500,7,0,11,0
501,7,0,12,0
502,7,0,13,0
503,7,0,14,0
504,7,0,15,0
505,7,0,16,0
506,7,0,17,0
507,7,0,18,0
508,7,0,19,0
509,7,0,20,0
510,8,0,0,0
511,8,0,1,0
512,8,0,2,0
513,8,0,3,0
514,8,0,4,0
515,8,0,5,0
516,8,0,6,0
517,8,0,7,0
518,8,0,8,0
519,8,0,9,0
520,8,0,10,0
521,8,0,11,0
522,8,0,12,0
523,8,0,13,0
524,8,0,14,0
525,8,0,15,0
526,8,0,16,0
527,8,0,17,0
528,8,0,18,0
529,8,0,19,0
530,8,0,20,0
531,9,0,0,0
532,9,0,1,0
533,9,0,2,0
534,9,0,3,0
535,9,0,4,0
536,9,0,5,0
537,9,0,6,0
538,9,0,7,0
539,9,0,8,0
540,9,0,9,0
541,9,0,10,0
542,9,0,11,0
543,9,0,12,0
544,9,0,13,0
545,9,0,14,0
546,9,0,15,0
547,9,0,16,0
548,9,0,17,0
549,9,0,18,0
550,9,0,19,0
551,9,0,20,0
552,10,0,0,0
553,10,0,1,0
554,10,1,1,0
555,10,1,1,0
556,10,0,2,0
557,10,1,2,0
558,10,1,2,0
559,10,0,3,0
560,10,1,3,0
561,10,1,3,0
562,10,0,4,0
563,10,1,4,0
564,10,1,4,0
565,10,0,5,0
566,10,1,5,0
567,10,1,5,0
568,10,0,6,0
569,10,1,6,0
570,10,1,6,0
571,10,0,7,0
572,10,1,7,0
573,10,1,7,0
574,10,0,8,0
575,10,1,8,0
576,10,1,8,0
577,10,0,9,0
578,10,1,9,0
579,10,1,9,0
580,10,0,10,0
581,10,1,10,0
582,10,1,10,0
583,10,0,11,0
584,10,1,11,0
585,10,1,11,0
586,10,0,12,0
587,10,1,12,0
588,10,1,12,0
589,10,0,13,0
590,10,1,13,0
591,10,1,13,0
592,10,0,14,0
593,10,1,14,0
594,10,1,14,0
595,10,0,15,0
596,10,1,15,0
597,10,1,15,0
598,10,0,16,0
599,10,1,16,0
600,10,1,16,0
601,10,0,17,0
602,10,1,17,0
603,10,1,17,0
604,10,0,18,0
605,10,1,18,0
606,10,1,18,0
607,10,0,19,0
608,10,1,19,0
609,10,1,19,0
610,10,0,20,0
611,10,1,20,0
612,10,1,20,0
613,-7,1,10,1
614,-7,1,10,1
615,-7,1,14,1
616,-7,1,14,1
617,-1,1,20,1
618,-1,1,20,1
619,0,2,10,1
620,0,2,10,1
621,1,1,20,1
622,1,1,20,1
623,7,1,10,1
624,7,1,10,1
625,7,1,14,1
626,7,1,14,1
627,7,1,2,5
628,7,1,2,5
629,8,1,3,6
630,8,1,3,6
631,7,1,5,7
632,7,1,5,7
633,6,1,3,8
634,6,1,3,8
